Date,Energy_kWh,Source_File,Data_Type
2024-04-27,57.413129999999995,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-04-28,52.406690000000005,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-04-29,54.1213,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-04-30,60.218900000000005,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-05-01,43.04953,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-05-02,34.23962,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-05-03,14.118120000000001,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-05-04,52.05045,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-05-05,49.93726,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-05-06,54.90858,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-05-07,27.53617,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-05-08,14.79162,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-05-09,57.15191,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-05-10,60.11942,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-05-11,55.18303,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-05-12,52.37086,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-05-13,35.6809,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-05-14,26.39943,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-05-15,36.12693,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-05-16,6.948270000000001,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-05-17,41.758669999999995,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-05-18,55.40681,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-05-19,51.15772,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
